,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-08-15,6020.0,6020.0,6020.0,6020.0,4310.94970703125,0,4296.62841796875,4319.54423828125
2000-08-16,6500.0,6530.0,6330.0,6420.0,4597.39208984375,51915000,4406.430501302083,4379.696875
2000-08-17,6480.0,6560.0,6340.0,6440.0,4611.71435546875,36345000,4506.685384114583,4419.79833984375
2000-08-18,6500.0,6520.0,6200.0,6200.0,4439.85107421875,21370000,4549.652506510417,4454.17138671875
2000-08-21,6200.0,6340.0,6190.0,6270.0,4489.9765625,20950000,4513.847330729167,4489.9767578125
2000-08-22,6260.0,6470.0,6240.0,6460.0,4626.03857421875,27710000,4518.6220703125,4552.99453125
2000-08-23,6450.0,6450.0,6160.0,6190.0,4432.6875,27905000,4516.234212239583,4520.05361328125
2000-08-24,6260.0,6300.0,6100.0,6220.0,4454.17138671875,31700000,4504.299153645833,4488.54501953125
2000-08-25,6180.0,6400.0,6110.0,6400.0,4583.07080078125,21960000,4489.9765625,4517.18896484375
2000-08-28,6340.0,6380.0,6260.0,6330.0,4532.94482421875,17630000,4523.395670572917,4525.7826171875
2000-08-29,6320.0,6380.0,6160.0,6220.0,4454.17138671875,16765000,4523.395670572917,4491.4091796875
2000-08-30,6140.0,6190.0,6020.0,6030.0,4318.11181640625,23735000,4435.076009114583,4468.49404296875
2000-08-31,5900.0,5900.0,5380.0,5470.0,3917.0927734375,114120000,4229.7919921875,4361.0783203125
2000-09-01,5540.0,5600.0,5420.0,5540.0,3967.22119140625,49955000,4067.4752604166665,4237.9083984375
2000-09-04,5440.0,5550.0,5310.0,5340.0,3824.000244140625,28625000,3902.7714029947915,4096.119482421875
2000-09-05,5260.0,5340.0,5030.0,5150.0,3687.939697265625,79765000,3826.3870442708335,3942.87314453125
2000-09-06,5200.0,5280.0,5090.0,5150.0,3687.939697265625,53120000,3733.293212890625,3816.838720703125
2000-09-07,4940.0,4980.0,4760.0,4790.0,3430.141845703125,83905000,3602.007080078125,3719.44853515625
2000-09-08,4900.0,4930.0,4790.0,4880.0,3494.592041015625,57170000,3537.557861328125,3624.922705078125
2000-09-11,4880.0,4880.0,4880.0,4880.0,3494.592041015625,0,3473.108642578125,3559.041064453125
2000-09-12,4880.0,4880.0,4880.0,4880.0,3494.592041015625,0,3494.592041015625,3520.371533203125
2000-09-13,4880.0,4880.0,4880.0,4880.0,3494.592041015625,0,3494.592041015625,3481.702001953125
2000-09-14,4600.0,4710.0,4440.0,4710.0,3372.854248046875,106130000,3454.0127766927085,3470.244482421875
2000-09-15,4500.0,4620.0,4300.0,4350.0,3115.056396484375,82695000,3327.5008951822915,3394.337353515625
2000-09-18,4010.0,4120.0,3700.0,3970.0,2842.936279296875,146305000,3110.2823079427085,3264.006201171875
2000-09-19,3990.0,4370.0,3900.0,4160.0,2978.996337890625,100525000,2978.996337890625,3160.887060546875
2000-09-20,4600.0,4660.0,4460.0,4600.0,3294.0830078125,103410000,3038.671875,3120.78525390625
2000-09-21,4590.0,4660.0,4320.0,4400.0,3150.860595703125,65445000,3141.3133138020835,3076.3865234375
2000-09-22,3840.0,4050.0,3780.0,3800.0,2721.197998046875,103265000,3055.3805338541665,2997.61484375
2000-09-25,3880.0,4110.0,3840.0,4090.0,2928.868408203125,65985000,2933.642333984375,3014.80126953125
2000-09-26,3900.0,4040.0,3900.0,4000.0,2864.418701171875,58430000,2838.1617024739585,2991.8857421875
2000-09-27,4000.0,4100.0,3960.0,4030.0,2885.902099609375,69795000,2893.0630696614585,2910.249560546875
2000-09-28,4100.0,4190.0,4030.0,4060.0,2907.3857421875,52470000,2885.9021809895835,2861.55458984375
2000-09-29,4120.0,4120.0,3940.0,4040.0,2893.063720703125,57535000,2895.4505208333335,2895.927734375
2000-10-02,3840.0,3880.0,3760.0,3810.0,2728.35986328125,41120000,2842.9364420572915,2855.826025390625
