,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-07-19,7550.0,7620.0,7440.0,7460.0,5342.14111328125,19605000,7490.0,7556.0
2000-07-20,7060.0,7110.0,6840.0,6900.0,4941.1240234375,40315000,7273.333333333333,7384.0
2000-07-21,6960.0,7050.0,6760.0,6920.0,4955.4453125,48395000,7093.333333333333,7258.0
2000-07-24,6640.0,6740.0,6360.0,6380.0,4568.74853515625,49015000,6733.333333333333,7024.0
2000-07-25,6310.0,6400.0,6120.0,6280.0,4497.138671875,56735000,6526.666666666667,6788.0
2000-07-26,6400.0,6580.0,6360.0,6550.0,4690.48681640625,54745000,6403.333333333333,6606.0
2000-07-27,6220.0,6360.0,6100.0,6230.0,4461.333984375,43540000,6353.333333333333,6472.0
2000-07-28,5800.0,5910.0,5710.0,5730.0,4103.27978515625,83035000,6170.0,6234.0
2000-07-31,5730.0,5910.0,5550.0,5900.0,4225.01904296875,46615000,5953.333333333333,6138.0
2000-08-01,5960.0,6270.0,5870.0,6220.0,4454.17236328125,53120000,5950.0,6126.0
2000-08-02,6100.0,6170.0,5930.0,6070.0,4346.75439453125,37190000,6063.333333333333,6030.0
2000-08-03,6180.0,6180.0,5970.0,6030.0,4318.11279296875,27815000,6106.666666666667,5990.0
2000-08-04,5930.0,6010.0,5850.0,5920.0,4239.341796875,23605000,6006.666666666667,6028.0
2000-08-07,5740.0,5770.0,5580.0,5580.0,3995.864990234375,28765000,5843.333333333333,5964.0
2000-08-08,5660.0,5750.0,5570.0,5580.0,3995.864990234375,33475000,5693.333333333333,5836.0
2000-08-09,5680.0,6040.0,5680.0,6000.0,4296.6298828125,39570000,5720.0,5822.0
2000-08-10,6000.0,6160.0,5860.0,6160.0,4411.2060546875,40830000,5913.333333333333,5848.0
2000-08-11,6000.0,6070.0,5880.0,5960.0,4267.984375,33840000,6040.0,5856.0
2000-08-14,6060.0,6160.0,6000.0,6020.0,4310.95263671875,23730000,6046.666666666667,5944.0
2000-08-15,6020.0,6020.0,6020.0,6020.0,4310.95263671875,0,6000.0,6032.0
2000-08-16,6500.0,6530.0,6330.0,6420.0,4597.392578125,51915000,6153.333333333333,6116.0
2000-08-17,6480.0,6560.0,6340.0,6440.0,4611.71630859375,36345000,6293.333333333333,6172.0
2000-08-18,6500.0,6520.0,6200.0,6200.0,4439.85009765625,21370000,6353.333333333333,6220.0
2000-08-21,6200.0,6340.0,6190.0,6270.0,4489.9775390625,20950000,6303.333333333333,6270.0
2000-08-22,6260.0,6470.0,6240.0,6460.0,4626.037109375,27710000,6310.0,6358.0
